Point_ID,Revisited_point,Coarse,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Elevation,LC1,LU1,Soil_Stones,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC1_Desc,LU1_Desc
47342620,Yes,,,,,4.1,4.52,7.52,28.7,0,37.4,2,73.7,635,C31,U120,1,SI,SI0,SI03,SI032,Spruce dominated mixed woodland,FORESTRY
47202620,Yes,,,,,3.6,4.12,12.63,123.9,0,42,7.7,109.2,642,C31,U120,1,SI,SI0,SI03,SI033,Spruce dominated mixed woodland,FORESTRY
47302630,Yes,,,,,4.6,5.01,12.66,47.2,0,63.5,4.3,79.3,790,E20,U111,1,SI,SI0,SI03,SI033,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47502586,Yes,,,,,4.6,5.04,7.41,19.1,0,12.1,1.7,39,262,C31,U120,1,SI,SI0,SI03,SI034,Spruce dominated mixed woodland,FORESTRY
47022596,Yes,,,,,5.5,5.63,11.93,45,0,33.8,5.1,147.8,467,B71,U111,1,SI,SI0,SI03,SI034,Apple fruit,Agriculture (excluding fallow land and kitchen gardens)
47402590,Yes,,,,,6.6,6.79,20.8,20.8,9,14.1,2.7,95.8,343,E20,U111,1,SI,SI0,SI03,SI034,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
46782546,Yes,,,,,6.9,7.05,24.2,81.5,68,33.7,5.8,211,365,E20,U111,1,SI,SI0,SI04,SI041,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47482612,Yes,,,,,4.7,5.15,17.07,41.1,0,25,4.2,85.9,796,E20,U111,1,SI,SI0,SI03,SI032,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47982612,Yes,,,,,5.7,5.98,7.1,17.7,0,6.4,2,159.2,252,C10,U120,1,SI,SI0,SI03,SI032,Broadleaved woodland,FORESTRY
47002510,Yes,,,,,6.5,6.7,10.98,27.8,15,0,2.4,49,657,C10,U120,1,SI,SI0,SI03,SI037,Broadleaved woodland,FORESTRY
47702620,Yes,,,,,3.9,4.33,6.73,15.8,0,9.9,1.3,90.8,294,C31,U120,1,SI,SI0,SI03,SI032,Spruce dominated mixed woodland,FORESTRY
47742614,Yes,,,,,3.9,4.26,6.91,22,0,5.3,1.3,72.7,284,C32,U120,1,SI,SI0,SI03,SI032,Pine dominated mixed woodland,FORESTRY
47762636,Yes,,,,,5.9,6.02,10.48,35.4,0,17.1,4,338.3,223,E20,U111,1,SI,SI0,SI03,SI031,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47702632,Yes,,,,,7.1,7.31,18.25,24.6,26,16.3,2.8,174.6,318,B11,U111,1,SI,SI0,SI03,SI032,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
